estacio,data,contaminant,unitats,latitud,longitud,valor,
Ciutadella,2022-01-01,NO2,xc2xb5gm3,41.386406,2.1873982,32.6250000000000000,
Ciutadella,2022-01-02,NO2,xc2xb5gm3,41.386406,2.1873982,23.7500000000000000,
Ciutadella,2022-01-03,NO2,xc2xb5gm3,41.386406,2.1873982,37.5454545454545455,
Ciutadella,2022-01-04,NO2,xc2xb5gm3,41.386406,2.1873982,52.5000000000000000,
Ciutadella,2022-01-05,NO2,xc2xb5gm3,41.386406,2.1873982,26.8333333333333333,
Ciutadella,2022-01-06,NO2,xc2xb5gm3,41.386406,2.1873982,16.8750000000000000,
Ciutadella,2022-01-07,NO2,xc2xb5gm3,41.386406,2.1873982,37.4166666666666667,
Ciutadella,2022-01-08,NO2,xc2xb5gm3,41.386406,2.1873982,20.0833333333333333,
Ciutadella,2022-01-09,NO2,xc2xb5gm3,41.386406,2.1873982,10.2916666666666667,
Ciutadella,2022-01-10,NO2,xc2xb5gm3,41.386406,2.1873982,32.0416666666666667,
Ciutadella,2022-01-11,NO2,xc2xb5gm3,41.386406,2.1873982,47.0416666666666667,
Ciutadella,2022-01-12,NO2,xc2xb5gm3,41.386406,2.1873982,26.8333333333333333,
Ciutadella,2022-01-13,NO2,xc2xb5gm3,41.386406,2.1873982,49.3333333333333333,
Ciutadella,2022-01-14,NO2,xc2xb5gm3,41.386406,2.1873982,48.0833333333333333,
Ciutadella,2022-01-15,NO2,xc2xb5gm3,41.386406,2.1873982,32.9583333333333333,
Ciutadella,2022-01-16,NO2,xc2xb5gm3,41.386406,2.1873982,46.7500000000000000,
Ciutadella,2022-01-17,NO2,xc2xb5gm3,41.386406,2.1873982,59.0416666666666667,
Ciutadella,2022-01-18,NO2,xc2xb5gm3,41.386406,2.1873982,48.6818181818181818,
Ciutadella,2022-01-19,NO2,xc2xb5gm3,41.386406,2.1873982,46.6250000000000000,
Ciutadella,2022-01-20,NO2,xc2xb5gm3,41.386406,2.1873982,50.2083333333333333,
Ciutadella,2022-01-21,NO2,xc2xb5gm3,41.386406,2.1873982,28.8750000000000000,
Ciutadella,2022-01-22,NO2,xc2xb5gm3,41.386406,2.1873982,32.5000000000000000,
Ciutadella,2022-01-23,NO2,xc2xb5gm3,41.386406,2.1873982,35.6666666666666667,
Ciutadella,2022-01-24,NO2,xc2xb5gm3,41.386406,2.1873982,53.2916666666666667,
Ciutadella,2022-01-25,NO2,xc2xb5gm3,41.386406,2.1873982,62.4583333333333333,
Ciutadella,2022-01-26,NO2,xc2xb5gm3,41.386406,2.1873982,66.5000000000000000,
Ciutadella,2022-01-27,NO2,xc2xb5gm3,41.386406,2.1873982,56.1666666666666667,
Ciutadella,2022-01-28,NO2,xc2xb5gm3,41.386406,2.1873982,72.5000000000000000,
Ciutadella,2022-01-29,NO2,xc2xb5gm3,41.386406,2.1873982,58.3750000000000000,
Ciutadella,2022-01-30,NO2,xc2xb5gm3,41.386406,2.1873982,46.8750000000000000,
Ciutadella,2022-01-31,NO2,xc2xb5gm3,41.386406,2.1873982,38.3333333333333333,
Ciutadella,2022-02-01,NO2,xc2xb5gm3,41.386406,2.1873982,50.0000000000000000,
Ciutadella,2022-02-02,NO2,xc2xb5gm3,41.386406,2.1873982,38.7083333333333333,
Ciutadella,2022-02-03,NO2,xc2xb5gm3,41.386406,2.1873982,53.7500000000000000,
Ciutadella,2022-02-04,NO2,xc2xb5gm3,41.386406,2.1873982,57.4583333333333333,
Ciutadella,2022-02-05,NO2,xc2xb5gm3,41.386406,2.1873982,35.3750000000000000,
Ciutadella,2022-02-06,NO2,xc2xb5gm3,41.386406,2.1873982,22.8333333333333333,
Ciutadella,2022-02-07,NO2,xc2xb5gm3,41.386406,2.1873982,38.1666666666666667,
Ciutadella,2022-02-08,NO2,xc2xb5gm3,41.386406,2.1873982,52.5000000000000000,
Ciutadella,2022-02-09,NO2,xc2xb5gm3,41.386406,2.1873982,38.0000000000000000,
Ciutadella,2022-02-10,NO2,xc2xb5gm3,41.386406,2.1873982,57.3750000000000000,
Ciutadella,2022-02-11,NO2,xc2xb5gm3,41.386406,2.1873982,71.1250000000000000,
Ciutadella,2022-02-12,NO2,xc2xb5gm3,41.386406,2.1873982,21.6666666666666667,
Ciutadella,2022-02-13,NO2,xc2xb5gm3,41.386406,2.1873982,31.3750000000000000,
Ciutadella,2022-02-14,NO2,xc2xb5gm3,41.386406,2.1873982,22.0416666666666667,
Ciutadella,2022-02-15,NO2,xc2xb5gm3,41.386406,2.1873982,18.7142857142857143,
Ciutadella,2022-02-16,NO2,xc2xb5gm3,41.386406,2.1873982,42.5833333333333333,
Ciutadella,2022-02-17,NO2,xc2xb5gm3,41.386406,2.1873982,41.7083333333333333,
Ciutadella,2022-02-18,NO2,xc2xb5gm3,41.386406,2.1873982,38.6666666666666667,
Ciutadella,2022-02-19,NO2,xc2xb5gm3,41.386406,2.1873982,21.2916666666666667,
Ciutadella,2022-02-20,NO2,xc2xb5gm3,41.386406,2.1873982,24.0000000000000000,
Ciutadella,2022-02-21,NO2,xc2xb5gm3,41.386406,2.1873982,36.1666666666666667,
Ciutadella,2022-02-22,NO2,xc2xb5gm3,41.386406,2.1873982,31.8333333333333333,
Ciutadella,2022-02-23,NO2,xc2xb5gm3,41.386406,2.1873982,41.0416666666666667,
Ciutadella,2022-02-24,NO2,xc2xb5gm3,41.386406,2.1873982,41.2083333333333333,
Ciutadella,2022-02-25,NO2,xc2xb5gm3,41.386406,2.1873982,39.2083333333333333,
Ciutadella,2022-02-26,NO2,xc2xb5gm3,41.386406,2.1873982,14.9166666666666667,
Ciutadella,2022-02-27,NO2,xc2xb5gm3,41.386406,2.1873982,29.6666666666666667,
Ciutadella,2022-02-28,NO2,xc2xb5gm3,41.386406,2.1873982,32.2916666666666667,
Ciutadella,2022-03-01,NO2,xc2xb5gm3,41.386406,2.1873982,30.0454545454545455,
Ciutadella,2022-03-02,NO2,xc2xb5gm3,41.386406,2.1873982,48.2916666666666667,
Ciutadella,2022-03-03,NO2,xc2xb5gm3,41.386406,2.1873982,30.4583333333333333,
Ciutadella,2022-03-04,NO2,xc2xb5gm3,41.386406,2.1873982,52.6666666666666667,
Ciutadella,2022-03-05,NO2,xc2xb5gm3,41.386406,2.1873982,26.0000000000000000,
Ciutadella,2022-03-06,NO2,xc2xb5gm3,41.386406,2.1873982,14.9583333333333333,
Ciutadella,2022-03-07,NO2,xc2xb5gm3,41.386406,2.1873982,24.3750000000000000,
Ciutadella,2022-03-08,NO2,xc2xb5gm3,41.386406,2.1873982,49.0833333333333333,
Ciutadella,2022-03-09,NO2,xc2xb5gm3,41.386406,2.1873982,35.3333333333333333,
Ciutadella,2022-03-10,NO2,xc2xb5gm3,41.386406,2.1873982,42.0000000000000000,
Ciutadella,2022-03-11,NO2,xc2xb5gm3,41.386406,2.1873982,33.9166666666666667,
Ciutadella,2022-03-12,NO2,xc2xb5gm3,41.386406,2.1873982,19.2083333333333333,
Ciutadella,2022-03-13,NO2,xc2xb5gm3,41.386406,2.1873982,28.4166666666666667,
Ciutadella,2022-03-14,NO2,xc2xb5gm3,41.386406,2.1873982,6.7142857142857143,
Ciutadella,2022-03-15,NO2,xc2xb5gm3,41.386406,2.1873982,5.9583333333333333,
Ciutadella,2022-03-16,NO2,xc2xb5gm3,41.386406,2.1873982,7.5000000000000000,
Ciutadella,2022-03-17,NO2,xc2xb5gm3,41.386406,2.1873982,10.3750000000000000,
Ciutadella,2022-03-18,NO2,xc2xb5gm3,41.386406,2.1873982,11.7916666666666667,
Ciutadella,2022-03-19,NO2,xc2xb5gm3,41.386406,2.1873982,12.2083333333333333,
Ciutadella,2022-03-20,NO2,xc2xb5gm3,41.386406,2.1873982,12.0416666666666667,
Ciutadella,2022-03-21,NO2,xc2xb5gm3,41.386406,2.1873982,5.7916666666666667,
Ciutadella,2022-03-22,NO2,xc2xb5gm3,41.386406,2.1873982,7.4166666666666667,
Ciutadella,2022-03-23,NO2,xc2xb5gm3,41.386406,2.1873982,20.8333333333333333,
Ciutadella,2022-03-24,NO2,xc2xb5gm3,41.386406,2.1873982,20.5000000000000000,
Ciutadella,2022-03-25,NO2,xc2xb5gm3,41.386406,2.1873982,14.3333333333333333,
Ciutadella,2022-03-26,NO2,xc2xb5gm3,41.386406,2.1873982,10.7500000000000000,
Ciutadella,2022-03-27,NO2,xc2xb5gm3,41.386406,2.1873982,11.3043478260869565,
Ciutadella,2022-03-28,NO2,xc2xb5gm3,41.386406,2.1873982,36.7083333333333333,
Ciutadella,2022-03-29,NO2,xc2xb5gm3,41.386406,2.1873982,28.1250000000000000,
Ciutadella,2022-03-30,NO2,xc2xb5gm3,41.386406,2.1873982,27.4761904761904762,
Ciutadella,2022-03-31,NO2,xc2xb5gm3,41.386406,2.1873982,20.7916666666666667,
Ciutadella,2022-04-01,NO2,xc2xb5gm3,41.386406,2.1873982,12.5833333333333333,
Ciutadella,2022-04-02,NO2,xc2xb5gm3,41.386406,2.1873982,8.4583333333333333,
Ciutadella,2022-04-03,NO2,xc2xb5gm3,41.386406,2.1873982,14.4166666666666667,
Ciutadella,2022-04-04,NO2,xc2xb5gm3,41.386406,2.1873982,21.2500000000000000,
Ciutadella,2022-04-05,NO2,xc2xb5gm3,41.386406,2.1873982,30.5416666666666667,
Ciutadella,2022-04-06,NO2,xc2xb5gm3,41.386406,2.1873982,56.4583333333333333,
Ciutadella,2022-04-07,NO2,xc2xb5gm3,41.386406,2.1873982,51.5833333333333333,
Ciutadella,2022-04-08,NO2,xc2xb5gm3,41.386406,2.1873982,42.7500000000000000,
Ciutadella,2022-04-09,NO2,xc2xb5gm3,41.386406,2.1873982,7.7500000000000000,
Ciutadella,2022-04-10,NO2,xc2xb5gm3,41.386406,2.1873982,26.1250000000000000,
Ciutadella,2022-04-11,NO2,xc2xb5gm3,41.386406,2.1873982,21.0000000000000000,
Ciutadella,2022-04-12,NO2,xc2xb5gm3,41.386406,2.1873982,8.4166666666666667,
Ciutadella,2022-04-13,NO2,xc2xb5gm3,41.386406,2.1873982,8.4545454545454545,
Ciutadella,2022-04-14,NO2,xc2xb5gm3,41.386406,2.1873982,21.5833333333333333,
Ciutadella,2022-04-15,NO2,xc2xb5gm3,41.386406,2.1873982,57.2500000000000000,
Ciutadella,2022-04-16,NO2,xc2xb5gm3,41.386406,2.1873982,51.7916666666666667,
Ciutadella,2022-04-17,NO2,xc2xb5gm3,41.386406,2.1873982,25.0833333333333333,
Ciutadella,2022-04-18,NO2,xc2xb5gm3,41.386406,2.1873982,19.9166666666666667,
Ciutadella,2022-04-19,NO2,xc2xb5gm3,41.386406,2.1873982,28.7083333333333333,
Ciutadella,2022-04-20,NO2,xc2xb5gm3,41.386406,2.1873982,13.5416666666666667,
Ciutadella,2022-04-21,NO2,xc2xb5gm3,41.386406,2.1873982,31.5416666666666667,
Ciutadella,2022-04-22,NO2,xc2xb5gm3,41.386406,2.1873982,33.5416666666666667,
Ciutadella,2022-04-23,NO2,xc2xb5gm3,41.386406,2.1873982,23.9166666666666667,
Ciutadella,2022-04-24,NO2,xc2xb5gm3,41.386406,2.1873982,13.5000000000000000,
Ciutadella,2022-04-25,NO2,xc2xb5gm3,41.386406,2.1873982,36.5000000000000000,
Ciutadella,2022-04-26,NO2,xc2xb5gm3,41.386406,2.1873982,52.4736842105263158,
Ciutadella,2022-04-27,NO2,xc2xb5gm3,41.386406,2.1873982,59.4782608695652174,
Ciutadella,2022-04-28,NO2,xc2xb5gm3,41.386406,2.1873982,68.5000000000000000,
Eixample,2022-01-01,NO2,xc2xb5gm3,41.385315,2.1537998,34.3333333333333333,
Eixample,2022-01-02,NO2,xc2xb5gm3,41.385315,2.1537998,31.7083333333333333,
Eixample,2022-01-03,NO2,xc2xb5gm3,41.385315,2.1537998,44.1250000000000000,
Eixample,2022-01-04,NO2,xc2xb5gm3,41.385315,2.1537998,56.4782608695652174,
Eixample,2022-01-05,NO2,xc2xb5gm3,41.385315,2.1537998,39.0000000000000000,
Eixample,2022-01-06,NO2,xc2xb5gm3,41.385315,2.1537998,21.9166666666666667,
Eixample,2022-01-07,NO2,xc2xb5gm3,41.385315,2.1537998,41.0000000000000000,
Eixample,2022-01-08,NO2,xc2xb5gm3,41.385315,2.1537998,27.8333333333333333,
Eixample,2022-01-09,NO2,xc2xb5gm3,41.385315,2.1537998,19.5416666666666667,
Eixample,2022-01-10,NO2,xc2xb5gm3,41.385315,2.1537998,48.8333333333333333,
Eixample,2022-01-11,NO2,xc2xb5gm3,41.385315,2.1537998,55.9583333333333333,
Eixample,2022-01-12,NO2,xc2xb5gm3,41.385315,2.1537998,40.3750000000000000,
Eixample,2022-01-13,NO2,xc2xb5gm3,41.385315,2.1537998,63.4166666666666667,
Eixample,2022-01-14,NO2,xc2xb5gm3,41.385315,2.1537998,73.4166666666666667,
Eixample,2022-01-15,NO2,xc2xb5gm3,41.385315,2.1537998,29.5833333333333333,
Eixample,2022-01-16,NO2,xc2xb5gm3,41.385315,2.1537998,44.2916666666666667,
Eixample,2022-01-17,NO2,xc2xb5gm3,41.385315,2.1537998,40.3750000000000000,
Eixample,2022-01-18,NO2,xc2xb5gm3,41.385315,2.1537998,47.0833333333333333,
Eixample,2022-01-19,NO2,xc2xb5gm3,41.385315,2.1537998,55.8181818181818182,
Eixample,2022-01-20,NO2,xc2xb5gm3,41.385315,2.1537998,54.4583333333333333,
Eixample,2022-01-21,NO2,xc2xb5gm3,41.385315,2.1537998,42.1250000000000000,
Eixample,2022-01-22,NO2,xc2xb5gm3,41.385315,2.1537998,32.9166666666666667,
Eixample,2022-01-23,NO2,xc2xb5gm3,41.385315,2.1537998,57.4166666666666667,
Eixample,2022-01-24,NO2,xc2xb5gm3,41.385315,2.1537998,73.8333333333333333,
Eixample,2022-01-25,NO2,xc2xb5gm3,41.385315,2.1537998,78.3333333333333333,
Eixample,2022-01-26,NO2,xc2xb5gm3,41.385315,2.1537998,70.3333333333333333,
Eixample,2022-01-27,NO2,xc2xb5gm3,41.385315,2.1537998,84.5000000000000000,
Eixample,2022-01-28,NO2,xc2xb5gm3,41.385315,2.1537998,73.8750000000000000,
Eixample,2022-01-29,NO2,xc2xb5gm3,41.385315,2.1537998,69.7083333333333333,
Eixample,2022-01-30,NO2,xc2xb5gm3,41.385315,2.1537998,51.4166666666666667,
Eixample,2022-01-31,NO2,xc2xb5gm3,41.385315,2.1537998,55.2916666666666667,
Eixample,2022-02-01,NO2,xc2xb5gm3,41.385315,2.1537998,50.7619047619047619,
Eixample,2022-02-02,NO2,xc2xb5gm3,41.385315,2.1537998,55.7916666666666667,
Eixample,2022-02-03,NO2,xc2xb5gm3,41.385315,2.1537998,72.7083333333333333,
Eixample,2022-02-04,NO2,xc2xb5gm3,41.385315,2.1537998,64.8333333333333333,
Eixample,2022-02-05,NO2,xc2xb5gm3,41.385315,2.1537998,44.0000000000000000,
Eixample,2022-02-06,NO2,xc2xb5gm3,41.385315,2.1537998,28.2916666666666667,
Eixample,2022-02-07,NO2,xc2xb5gm3,41.385315,2.1537998,49.6666666666666667,
Eixample,2022-02-08,NO2,xc2xb5gm3,41.385315,2.1537998,56.9583333333333333,
Eixample,2022-02-09,NO2,xc2xb5gm3,41.385315,2.1537998,48.0833333333333333,
Eixample,2022-02-10,NO2,xc2xb5gm3,41.385315,2.1537998,65.3333333333333333,
Eixample,2022-02-11,NO2,xc2xb5gm3,41.385315,2.1537998,74.3750000000000000,
Eixample,2022-02-12,NO2,xc2xb5gm3,41.385315,2.1537998,36.5416666666666667,
Eixample,2022-02-13,NO2,xc2xb5gm3,41.385315,2.1537998,35.5000000000000000,
Eixample,2022-02-14,NO2,xc2xb5gm3,41.385315,2.1537998,31.0416666666666667,
Eixample,2022-02-15,NO2,xc2xb5gm3,41.385315,2.1537998,32.4583333333333333,
Eixample,2022-02-16,NO2,xc2xb5gm3,41.385315,2.1537998,50.8181818181818182,
Eixample,2022-02-17,NO2,xc2xb5gm3,41.385315,2.1537998,55.5000000000000000,
Eixample,2022-02-18,NO2,xc2xb5gm3,41.385315,2.1537998,49.9583333333333333,
Eixample,2022-02-19,NO2,xc2xb5gm3,41.385315,2.1537998,36.5833333333333333,
Eixample,2022-02-20,NO2,xc2xb5gm3,41.385315,2.1537998,26.6250000000000000,
Eixample,2022-02-21,NO2,xc2xb5gm3,41.385315,2.1537998,43.3750000000000000,
Eixample,2022-02-22,NO2,xc2xb5gm3,41.385315,2.1537998,42.4583333333333333,
Eixample,2022-02-23,NO2,xc2xb5gm3,41.385315,2.1537998,44.7916666666666667,
Eixample,2022-02-24,NO2,xc2xb5gm3,41.385315,2.1537998,50.4166666666666667,
Eixample,2022-02-25,NO2,xc2xb5gm3,41.385315,2.1537998,55.4166666666666667,
Eixample,2022-02-26,NO2,xc2xb5gm3,41.385315,2.1537998,31.5416666666666667,
Eixample,2022-02-27,NO2,xc2xb5gm3,41.385315,2.1537998,46.7500000000000000,
Eixample,2022-02-28,NO2,xc2xb5gm3,41.385315,2.1537998,42.1666666666666667,
Eixample,2022-03-01,NO2,xc2xb5gm3,41.385315,2.1537998,44.2083333333333333,
Eixample,2022-03-02,NO2,xc2xb5gm3,41.385315,2.1537998,58.6363636363636364,
Eixample,2022-03-03,NO2,xc2xb5gm3,41.385315,2.1537998,33.9583333333333333,
Eixample,2022-03-04,NO2,xc2xb5gm3,41.385315,2.1537998,57.6666666666666667,
Eixample,2022-03-05,NO2,xc2xb5gm3,41.385315,2.1537998,23.5833333333333333,
Eixample,2022-03-06,NO2,xc2xb5gm3,41.385315,2.1537998,27.1666666666666667,
Eixample,2022-03-07,NO2,xc2xb5gm3,41.385315,2.1537998,40.8750000000000000,
Eixample,2022-03-08,NO2,xc2xb5gm3,41.385315,2.1537998,63.5833333333333333,
Eixample,2022-03-09,NO2,xc2xb5gm3,41.385315,2.1537998,52.2500000000000000,
Eixample,2022-03-10,NO2,xc2xb5gm3,41.385315,2.1537998,60.0000000000000000,
Eixample,2022-03-11,NO2,xc2xb5gm3,41.385315,2.1537998,61.9166666666666667,
Eixample,2022-03-12,NO2,xc2xb5gm3,41.385315,2.1537998,43.7083333333333333,
Eixample,2022-03-13,NO2,xc2xb5gm3,41.385315,2.1537998,43.7916666666666667,
Eixample,2022-03-14,NO2,xc2xb5gm3,41.385315,2.1537998,24.1250000000000000,
Eixample,2022-03-15,NO2,xc2xb5gm3,41.385315,2.1537998,23.5416666666666667,
Eixample,2022-03-16,NO2,xc2xb5gm3,41.385315,2.1537998,26.3333333333333333,
Eixample,2022-03-17,NO2,xc2xb5gm3,41.385315,2.1537998,31.5416666666666667,
Eixample,2022-03-18,NO2,xc2xb5gm3,41.385315,2.1537998,30.9166666666666667,
Eixample,2022-03-19,NO2,xc2xb5gm3,41.385315,2.1537998,31.6250000000000000,
Eixample,2022-03-20,NO2,xc2xb5gm3,41.385315,2.1537998,27.3750000000000000,
Eixample,2022-03-21,NO2,xc2xb5gm3,41.385315,2.1537998,23.5000000000000000,
Eixample,2022-03-22,NO2,xc2xb5gm3,41.385315,2.1537998,30.9166666666666667,
Eixample,2022-03-23,NO2,xc2xb5gm3,41.385315,2.1537998,40.8750000000000000,
Eixample,2022-03-24,NO2,xc2xb5gm3,41.385315,2.1537998,47.0416666666666667,
Eixample,2022-03-25,NO2,xc2xb5gm3,41.385315,2.1537998,40.0000000000000000,
Eixample,2022-03-26,NO2,xc2xb5gm3,41.385315,2.1537998,35.2083333333333333,
Eixample,2022-03-27,NO2,xc2xb5gm3,41.385315,2.1537998,30.6521739130434783,
Eixample,2022-03-28,NO2,xc2xb5gm3,41.385315,2.1537998,78.1666666666666667,
Eixample,2022-03-29,NO2,xc2xb5gm3,41.385315,2.1537998,48.3750000000000000,
Eixample,2022-03-30,NO2,xc2xb5gm3,41.385315,2.1537998,43.1666666666666667,
Eixample,2022-03-31,NO2,xc2xb5gm3,41.385315,2.1537998,36.5500000000000000,
Eixample,2022-04-01,NO2,xc2xb5gm3,41.385315,2.1537998,30.2083333333333333,
Eixample,2022-04-02,NO2,xc2xb5gm3,41.385315,2.1537998,19.5833333333333333,
Eixample,2022-04-03,NO2,xc2xb5gm3,41.385315,2.1537998,28.2500000000000000,
Eixample,2022-04-04,NO2,xc2xb5gm3,41.385315,2.1537998,36.6250000000000000,
Eixample,2022-04-05,NO2,xc2xb5gm3,41.385315,2.1537998,51.8750000000000000,
Eixample,2022-04-06,NO2,xc2xb5gm3,41.385315,2.1537998,57.1250000000000000,
Eixample,2022-04-07,NO2,xc2xb5gm3,41.385315,2.1537998,52.1666666666666667,
Eixample,2022-04-08,NO2,xc2xb5gm3,41.385315,2.1537998,40.9583333333333333,
Eixample,2022-04-09,NO2,xc2xb5gm3,41.385315,2.1537998,25.1250000000000000,
Eixample,2022-04-10,NO2,xc2xb5gm3,41.385315,2.1537998,19.6250000000000000,
Eixample,2022-04-11,NO2,xc2xb5gm3,41.385315,2.1537998,31.9583333333333333,
Eixample,2022-04-12,NO2,xc2xb5gm3,41.385315,2.1537998,26.3333333333333333,
Eixample,2022-04-13,NO2,xc2xb5gm3,41.385315,2.1537998,30.7500000000000000,
Eixample,2022-04-14,NO2,xc2xb5gm3,41.385315,2.1537998,49.7500000000000000,
Eixample,2022-04-15,NO2,xc2xb5gm3,41.385315,2.1537998,62.6250000000000000,
Eixample,2022-04-16,NO2,xc2xb5gm3,41.385315,2.1537998,50.0000000000000000,
Eixample,2022-04-17,NO2,xc2xb5gm3,41.385315,2.1537998,37.6666666666666667,
Eixample,2022-04-18,NO2,xc2xb5gm3,41.385315,2.1537998,38.4166666666666667,
Eixample,2022-04-19,NO2,xc2xb5gm3,41.385315,2.1537998,55.3750000000000000,
Eixample,2022-04-20,NO2,xc2xb5gm3,41.385315,2.1537998,31.8750000000000000,
Eixample,2022-04-21,NO2,xc2xb5gm3,41.385315,2.1537998,41.1428571428571429,
Eixample,2022-04-22,NO2,xc2xb5gm3,41.385315,2.1537998,40.7916666666666667,
Eixample,2022-04-23,NO2,xc2xb5gm3,41.385315,2.1537998,32.5652173913043478,
Eixample,2022-04-24,NO2,xc2xb5gm3,41.385315,2.1537998,18.6521739130434783,
Eixample,2022-04-25,NO2,xc2xb5gm3,41.385315,2.1537998,45.7916666666666667,
Eixample,2022-04-26,NO2,xc2xb5gm3,41.385315,2.1537998,55.8333333333333333,
Eixample,2022-04-27,NO2,xc2xb5gm3,41.385315,2.1537998,72.1250000000000000,
Eixample,2022-04-28,NO2,xc2xb5gm3,41.385315,2.1537998,85.5000000000000000,
Grxc3xa0cia - Sant Gervasi,2022-01-01,NO2,xc2xb5gm3,41.398724,2.1533988,28.5000000000000000,
Grxc3xa0cia - Sant Gervasi,2022-01-02,NO2,xc2xb5gm3,41.398724,2.1533988,27.0416666666666667,
Grxc3xa0cia - Sant Gervasi,2022-01-03,NO2,xc2xb5gm3,41.398724,2.1533988,44.7500000000000000,
Grxc3xa0cia - Sant Gervasi,2022-01-04,NO2,xc2xb5gm3,41.398724,2.1533988,55.9090909090909091,
Grxc3xa0cia - Sant Gervasi,2022-01-05,NO2,xc2xb5gm3,41.398724,2.1533988,32.4166666666666667,
Grxc3xa0cia - Sant Gervasi,2022-01-06,NO2,xc2xb5gm3,41.398724,2.1533988,19.4166666666666667,
